Kmalloc Time (s),Latency (µs),Bytes
36714.001083,64121.99999613222,48.0
36714.001062,64145.99999698112,32.0
36714.044374,21537.000000535045,11.0
36713.992572,82741.9999986887,2048.0
36713.992561,82759.99999750638,4097.0
36714.077996,28.00000220304355,11.0
36713.992572,86898.99999444606,2048.0
36713.992561,86916.00000020117,4097.0
36713.671091,409956.0000031488,4096.0
36713.663696,429449.9999959953,4096.0
36714.105566,34.000004234258085,4096.0
36714.105535,68.9999942551367,32.0
36714.106517,55.999997130129486,11.0
36713.671091,438809.00000658585,4096.0
36714.089912,19993.999994767364,32.0
36714.005421,105888.99999856949,32.0
36713.671091,443098.0000033742,4096.0
36714.005421,108785.9999970533,32.0
36714.028349,89676.99999629986,32.0
36714.028076,90007.99999921583,48.0
36714.02805,90037.0000017574,32.0
36714.042407,76280.00000113389,32.0
36714.042144,77117.00000072597,48.0
36714.042123,77144.00000259047,32.0
36713.671091,449216.000000888,4096.0
36714.122988,31.99999628122896,11.0
36713.663696,461188.9999941923,4096.0
36714.124803,86.00000001024455,32.0
36714.048334,79299.99999760184,48.0
36714.004187,123451.9999998156,32.0
36713.992572,138236.9999992079,2048.0
36713.992561,138263.00000073388,4097.0
36714.106517,26323.99999856716,11.0
36713.663696,471691.999999166,4096.0
36714.135288,104.9999991664663,32.0
36713.998576,140510.00000472413,32.0
36713.663696,476188.9999936102,4096.0
36713.998576,141313.00000008196,32.0
36714.041019,99339.00000032736,32.0
36714.030569,109841.99999802513,48.0
36714.030549,109863.99999819696,32.0
36714.07575,67736.9999975781,32.0
36714.075499,68231.00000474369,48.0
36714.075478,68254.99999831663,32.0
36714.0653,79196.99999911245,48.0
36714.001062,143438.99999948917,32.0
36714.122988,29163.999999582302,11.0
36714.122988,37819.999997736886,11.0
36713.992572,173711.99999615783,2048.0
36713.992561,173731.00000259,4097.0
36713.663696,503486.9999944931,4096.0
36714.167087,98.99999713525176,32.0
36714.073321,94203.99999362417,32.0
36714.073023,96400.00000217697,48.0
36714.072992,96433.99999913527,32.0
36713.663696,506605.99999537226,4096.0
36714.172441,62.99999949987978,11.0
36714.172441,6472.999994002748,11.0
36714.166478,19979.99999730382,48.0
36714.166455,20008.9999998454,32.0
36713.671091,516416.0000058473,4096.0
36714.166455,21055.999997770414,32.0
36713.992572,195840.00000031665,2048.0
36713.992561,195857.99999913434,4097.0
36714.192356,22.000000171829015,11.0
36713.671091,525362.0000003139,4096.0
36714.196391,67.0000008540228,32.0
36714.095329,101731.99999553617,32.0
36714.079647,118738.9999977313,48.0
36714.079624,118764.99999925727,32.0
36713.671091,529386.0000019777,4096.0
36713.671091,534556.0000059777,4096.0
36714.205587,63.99999983841553,32.0
36713.671091,535508.0000008456,4096.0
36714.205587,1016.0000019823201,32.0
36713.663696,543164.999995497,4096.0
36714.185709,21162.000004551373,32.0
36714.188603,19315.999998070765,48.0
36714.166455,41469.00000341702,32.0
36714.028349,180687.00000003446,32.0
36714.041019,175105.00000207685,32.0
36714.11819,103379.00000013178,48.0
36714.02805,193523.00000173273,32.0
36714.012073,210429.9999991781,11.0
36713.992572,230963.99999485584,2048.0
36713.992561,230982.00000094948,4097.0
36714.124803,99741.99999851407,32.0
36714.131158,93447.00000656303,48.0
36714.004187,220423.99999918416,32.0
36713.992572,236608.9999995893,2048.0
36713.992561,236625.99999806844,4097.0
36713.671091,565069.0000038594,4096.0
36714.236075,111.00000119768083,32.0
36714.140505,96850.99999478552,48.0
36714.030549,206811.99999671662,32.0
36713.671091,569250.0000004657,4096.0
36713.671091,569358.0000006477,4096.0
36714.242119,23.00000051036477,11.0
36714.246232,56.0000044060871,11.0
36714.042407,205024.00000259513,32.0
36714.119341,128153.00000511343,48.0
36714.042123,205373.0000043288,32.0
36713.663696,592383.9999959455,4096.0
36714.042407,213676.9999997341,32.0
36714.26321,22.000000171829015,96.0
36713.663696,601961.9999933639,4096.0
36714.042407,223254.99999715248,32.0
36714.073321,194666.99999611592,32.0
36714.27294,24.99999391147867,11.0
36714.075478,199387.00000056997,32.0
36714.16951,105906.99999738717,48.0
36714.072992,202427.99999687122,32.0
36714.144572,136676.0000018985,48.0
36714.001062,280188.9999973355,32.0
36713.663696,618977.9999986058,4096.0
36713.998576,284606.0000010766,32.0
36714.149279,133959.99999920605,48.0
36714.07575,207490.99999375176,32.0
36714.293422,89.99999408842996,11.0
36713.663696,632710.9999983804,4096.0
36714.296351,60.000005760230124,32.0
36713.992572,306475.99999792874,2048.0
36713.992561,306494.0000040224,4097.0
36713.663696,642939.9999979069,4096.0
36714.306569,72.00000254670158,32.0
36714.16152,145538.9999973704,32.0
36714.161213,146073.00000352552,48.0
36714.161182,146106.99999320786,32.0
36713.663696,646482.999996806,4096.0
36714.310118,63.99999983841553,32.0
36713.663696,647865.9999993397,4096.0
36714.310118,1447.0000023720786,32.0
36714.124803,190068.00000352086,32.0
36714.316975,19.999999494757503,11.0
36714.19994,120026.00000414532,32.0
36713.663696,659418.9999959781,4096.0
36714.323047,73.00000288523734,32.0
36713.992572,335871.9999960158,2048.0
36713.992561,335889.0000017709,4097.0
36714.229621,100958.00000271993,32.0
36714.229379,101261.00000343286,48.0
36714.229355,101286.99999768287,32.0
36714.224825,106835.99999902071,48.0
36714.004187,327475.999998569,32.0
36714.199591,132812.0000034687,48.0
36714.196391,136031.00000182167,32.0
36714.293422,42987.00000072131,11.0
36713.663696,673684.9999942933,4096.0
36714.229621,107764.00000031572,32.0
36713.663696,677405.9999952442,4096.0
36713.663696,678910.9999954235,4096.0
36714.124803,217808.00000124145,32.0
36714.245214,100856.99999763165,32.0
36714.221666,124900.00000252621,48.0
36714.02805,318518.00000004005,32.0
36714.225458,121612.99999570474,32.0
36714.095329,252140.9999972093,32.0
36714.198476,149045.00000557164,48.0
36714.079624,267898.9999985788,32.0
36713.663696,687046.9999994384,4096.0
36714.16152,189225.99999496015,32.0
36714.247748,105286.99999849778,32.0
36714.247577,106004.00000112131,48.0
36714.247561,106023.00000027753,32.0
36714.358008,20.99999983329326,11.0
36713.671091,697463.0000040634,4096.0
36714.247748,120814.00000170106,32.0
36713.671091,705485.000005865,4096.0
36714.247748,128834.99999588821,32.0
36714.236075,140900.99999884842,32.0
36713.671091,708183.0000024638,4096.0
36714.381686,266.0000027390197,11.0
36714.243722,142237.00000002282,32.0
36714.237455,152421.99999920558,48.0
36714.030549,359331.9999999949,32.0
36713.663696,727367.9999998421,4096.0
36714.247561,143508.00000102026,32.0
36714.225255,166079.00000235531,48.0
36714.225232,166106.00000421982,32.0
36713.663696,731508.9999974589,4096.0
36714.395113,97.00000373413786,32.0
36713.992572,405877.999997756,2048.0
