Kmalloc Time (s),Latency (µs),Bytes
45675.75517,19538.000000466127,4096.0
45675.75517,20480.00000650063,4096.0
45675.75517,20517.00000447454,4096.0
45675.75517,20534.00000295369,4096.0
45675.75517,20545.99999974016,4096.0
45675.746013,29795.99999525817,96.0
45675.746013,30363.999998371582,96.0
45675.75517,21525.000003748573,4096.0
45675.75517,21558.000000368338,4096.0
45675.75517,21572.00000510784,4096.0
45675.75517,21588.000003248453,4096.0
45675.75517,22378.00000148127,4096.0
45675.75517,22418.000000470784,4096.0
45675.75517,22437.000006902963,4096.0
45675.75517,22454.000005382113,4096.0
45675.75517,22769.000002881512,4096.0
45675.75517,22802.000006777234,4096.0
45675.75517,22817.000004579313,4096.0
45675.75517,22832.000002381392,4096.0
45675.746013,32317.999997758307,96.0
45675.75517,23475.000001781154,4096.0
45675.75517,23517.00000144774,4096.0
45675.75517,23533.99999992689,4096.0
45675.75517,23554.999999760184,4096.0
45675.746013,33773.99999590125,96.0
45675.75517,24948.000005679205,4096.0
45675.75517,24989.000005007256,4096.0
45675.75517,25005.00000314787,4096.0
45675.75517,25034.00000568945,4096.0
45675.75517,26802.000000316184,4096.0
45675.75517,26842.000006581657,4096.0
45675.75517,26859.000005060807,4096.0
45675.75517,26871.00000184728,4096.0
45675.746013,36076.99999702163,96.0
45675.746013,36514.99999978114,96.0
45675.75517,27724.00000685593,4096.0
45675.75517,27761.00000482984,4096.0
45675.75517,27776.000002631918,4096.0
45675.75517,27788.999999756925,4096.0
45675.746013,37535.99999618018,96.0
45675.75517,28717.00000105193,4096.0
45675.75517,28761.000001395587,4096.0
45675.75517,28777.999999874737,4096.0
45675.75517,28791.000004275702,4096.0
45675.75517,29564.000004029367,4096.0
45675.75517,29602.00000234181,4096.0
45675.75517,29620.000001159497,4096.0
45675.75517,29633.00000556046,4096.0
45675.746013,39241.99999892153,96.0
45675.75517,30471.000005491078,4096.0
45675.75517,30504.000002110843,4096.0
45675.75517,30518.000006850343,4096.0
45675.75517,30535.000005329493,4096.0
45675.746013,40725.999999267515,96.0
45675.75517,31960.000000253785,4096.0
45675.75517,31993.000004149508,4096.0
45675.75517,32007.00000161305,4096.0
45675.75517,32019.00000567548,4096.0
45675.746013,41817.99999787472,96.0
45675.75517,33005.000004777685,4096.0
45675.75517,33041.00000241306,4096.0
45675.75517,33057.00000055367,4096.0
45675.75517,33070.000004954636,4096.0
45675.746013,43282.99999906449,96.0
45675.75517,34529.000004113186,4096.0
45675.75517,34568.000002764165,4096.0
45675.75517,34583.000000566244,4096.0
45675.75517,34597.000005305745,4096.0
45675.75517,35335.000000486616,4096.0
45675.75517,35372.00000573648,4096.0
45675.75517,35388.000003877096,4096.0
45675.75517,35402.00000134064,4096.0
45675.75517,35617.00000136625,4096.0
45675.75517,35657.000000355765,4096.0
45675.75517,35676.99999985052,4096.0
45675.75517,35693.000005267095,4096.0
45675.75517,35839.00000376161,4096.0
45675.75517,35866.00000562612,4096.0
45675.75517,35881.0000034282,4096.0
45675.75517,35894.000000553206,4096.0
45675.75517,36192.99999991199,4096.0
45675.75517,36226.00000380771,4096.0
45675.75517,36242.00000194833,4096.0
45675.75517,36258.00000008894,4096.0
45675.746013,45480.99999374244,96.0
45675.75517,37150.00000374857,4096.0
45675.75517,37183.00000036834,4096.0
45675.75517,37206.0000008787,4096.0
45675.75517,37220.0000056182,4096.0
45675.746013,46413.99999673013,96.0
45675.746013,47067.99999985378,96.0
45675.75517,38328.000002366025,4096.0
45675.75517,38360.00000592321,4096.0
45675.75517,38381.000005756505,4096.0
45675.75517,38395.00000322005,4096.0
45675.75517,42838.000001211185,4096.0
45675.75517,43083.00000411691,4096.0
45675.75517,43439.00000094436,4096.0
